"","DAX_cumul_ret_true"
"2023-11-16",0.243797155991388
"2023-11-17",1.0799261936377
"2023-11-20",0.967859535583493
"2023-11-21",0.96282961168086
"2023-11-22",1.32248477124541
"2023-11-23",0.231031149407457
"2023-11-24",0.448115459422915
"2023-11-27",0.0535631743629139
"2023-11-28",0.218147658703671
"2023-11-29",1.2989108408636
"2023-11-30",0.302511958645368
"2023-12-01",1.41919560914818
"2023-12-04",1.46334031279558
"2023-12-05",2.24268798990792
"2023-12-06",2.98587763928548
"2023-12-07",-0.164932375697902
"2023-12-08",0.615170094812179
"2023-12-11",0.825036961087555
"2023-12-12",0.809021719474678
"2023-12-13",0.655915943642604
"2023-12-14",-0.0824643315098683
"2023-12-15",-0.0871862955632352
"2023-12-18",-0.691275920001466
"2023-12-19",-0.129157447572581
"2023-12-20",-0.197020272995019
"2023-12-21",-0.273071484452636
"2023-12-22",-0.160716016231532
"2023-12-25",0.0538879691756478
"2023-12-26",-0.188427604026842
"2023-12-27",0.111034893135908
"2023-12-28",-0.24231557320249
"2023-12-29",0.0571469239602607
"2024-01-01",0.16286424534222
"2024-01-02",-1.2240349129863
"2024-01-03",-0.748106883946953
"2024-01-04",0.475928029039352
"2024-01-05",0.336951296795895
"2024-01-08",1.07101201603221
"2024-01-09",0.902705009558957
"2024-01-10",0.911400344739555
"2024-01-11",-0.859179928062304
"2024-01-12",0.0883382466930982
"2024-01-15",-0.405798949901737
"2024-01-16",-0.710319082135946
"2024-01-17",-1.55866322151557
"2024-01-18",0.822211339225198
"2024-01-19",0.748432139229571
"2024-01-22",1.52000239324863
"2024-01-23",1.18215294304633
"2024-01-24",2.75052355539849
"2024-01-25",0.100601130237798
"2024-01-26",0.422263174852411
"2024-01-29",0.306169432372627
"2024-01-30",0.486796127632694
"2024-01-31",0.0819078872245527
"2024-02-01",-0.264911268204138
"2024-02-02",0.0854543508493677
"2024-02-05",0.00177935901959358
"2024-02-06",0.763067430963638
"2024-02-07",0.107617358940537
"2024-02-08",0.247119283199737
"2024-02-09",0.0268199049616058
"2024-02-12",0.679572783363191
"2024-02-13",-0.243357891099016
"2024-02-14",0.138891714604661
"2024-02-15",0.595485864437961
"2024-02-16",1.00966356136158
"2024-02-19",0.862455648856653
"2024-02-20",0.72293807838637
"2024-02-21",1.01363421367751
